# Time-averaged data for fix flux_out
# TimeStep c_flux[1] c_flux[2] c_flux[3]
21600 7640.4 3539.69 -329.833
21700 7266.51 3817.85 -242.464
21800 7206.98 3902.36 -236.308
21900 7263.59 3992.71 -322.305
22000 7562.99 4143.65 -306.297
22100 7650.13 4425.24 -209.55
22200 7685.98 4753.48 -222.905
22300 8166.42 5126.99 -301.966
22400 8500.34 5622.98 -266.398
22500 9127.24 5700.31 -172.192
22600 9613.1 6202.83 -183.381
22700 10108.9 6540.18 -284.251
22800 10473.8 6754.35 -229.665
22900 11053.1 7119.02 -158.456
23000 11634 7060.33 -200.458
23100 11714.3 7223.13 -330.093
23200 11632.4 6924.02 -323.678
23300 11501.2 7090.84 -255.017
23400 10741.7 6363.76 -373.148
23500 9993.24 6054.52 -488.307
23600 8773.35 5333.23 -432.982
23700 7107.99 4478.41 -345.051
23800 5336.84 3269.44 -386.411
23900 3509.23 2159.28 -437.065
24000 1382.45 1352.37 -312.783
24100 -895.077 338.287 -150.051
24200 -2754.18 -1375.21 -205.95
24300 -4663.72 -2359.41 -254.207
24400 -6460.67 -3092.09 -118.575
24500 -7789.56 -4194.05 -38.8079
24600 -8942.34 -4838.02 -181.775
24700 -10075 -5176.67 -246.766
24800 -10339.5 -5498.13 -200.536
24900 -10488.3 -6106.63 -189.584
25000 -10193.4 -6132.89 -346.087
25100 -9990.73 -6322.09 -407.678
25200 -9498.24 -6181.63 -300.706
25300 -8742.05 -6044.85 -295.491
25400 -8136.92 -6001.54 -387.854
25500 -7577.8 -5993.8 -378.708
25600 -7036.28 -5781.73 -263.915
25700 -6311.51 -5778.88 -279.607
25800 -6028.92 -5501.45 -370.593
25900 -5633.76 -5159.64 -396.587
26000 -5229.81 -4906.65 -230.831
26100 -5062.22 -4479.9 -240.275
26200 -5000.06 -4289.71 -384.702
26300 -5229.11 -3901.2 -346.5
26400 -5347.44 -3587.42 -220.661
26500 -5596.94 -3158.56 -232.685
26600 -5808.65 -2790.08 -380.002
26700 -6374.5 -2487.85 -298.409
26800 -6856.72 -2448.83 -164.861
26900 -7284 -2453.26 -216.691
27000 -7561.45 -2388.98 -334.693
27100 -8601.58 -2600.15 -262.461
27200 -8932.79 -2693.36 -127.329
27300 -9454.3 -3455.51 -252.063
27400 -9928.29 -3516.41 -288.548
27500 -10401.1 -4101.04 -233.332
27600 -10703.1 -4721.73 -164.149
27700 -10796.7 -4851.5 -256.004
27800 -10959 -5102.08 -368.662
27900 -10854 -5066.51 -301.648
28000 -10419.2 -5156.75 -295.524
28100 -9623.16 -4864.04 -415.194
28200 -8778.2 -4483.33 -508.592
28300 -7565.54 -3375.27 -397.553
28400 -6110.37 -2736.85 -345.057
28500 -4360.7 -1728.43 -422.792
28600 -2373.17 -433.309 -433.859
28700 -254.938 738.358 -278.471
28800 1443.33 1649.6 -172.203
28900 3727.33 3154.79 -245.112
29000 5307.42 4457.33 -221.602
29100 6853.52 5308.44 -68.9707
29200 8426.32 5959.81 -67.287
29300 9495.52 6642.17 -247.661
29400 10468 7016.62 -281.451
29500 10856.8 7081.82 -224.796
29600 11281.7 6910.67 -218.3
29700 11616.7 6468.32 -377.157
29800 11214.4 5976.81 -377.326
29900 11291 5090.32 -289.862
30000 11157.1 4331.67 -312.398
30100 10878.9 3474.86 -385.484
30200 10666.4 2706.7 -348.498
30300 10101.1 1905.08 -273.79
30400 9855.25 1677.01 -284.462
30500 9485.6 1394.38 -399.271
30600 9051.78 968.594 -391.215
30700 8390.06 974.147 -285.123
30800 8067.49 1105.13 -311.53
30900 7450.12 1734.76 -382.663
31000 7027.78 2189.46 -317.877
31100 6334.53 2769.18 -256.183
31200 5880.13 3333.99 -324.39
31300 5435.15 4507.03 -322.825
31400 5312.84 5166.11 -266.645
31500 4894.07 5939.86 -237.52
31600 5067.19 6461.76 -275.024
31700 5079.3 7134.68 -301.767
31800 5262.37 7213.51 -208.042
31900 5794.21 7676.98 -228.265
32000 6093.26 8063.73 -292.173
32100 7052.06 7967.5 -314.799
32200 7443.12 7848.34 -196.032
32300 8269.36 7852.84 -197.994
32400 9238.99 7459.5 -248.054
32500 10017.9 7484.77 -255.892
32600 10387.4 7210.28 -237.709
32700 10996 7039.76 -228.389
32800 11477.9 6809.44 -321.626
32900 11290.2 6055.33 -319.342
33000 10889.5 5754.39 -336.614
33100 9837.23 4977.24 -384.022
33200 8744.55 4350.3 -485.233
33300 7436.98 3373.48 -450.983
33400 5727.22 2471.81 -344.961
33500 3783.46 1573.86 -330.333
33600 1734.62 536.06 -356.886
33700 -408.414 -895.003 -231.55
33800 -2212.06 -1770.21 -164.027
33900 -4376.61 -2935.37 -188.472
34000 -5777.23 -3993.01 -168.841
34100 -7323.25 -4598.86 -149.775
34200 -8630.68 -5224.32 -88.3172
34300 -9474.67 -5807.48 -186.752
34400 -9711.87 -6502.62 -294.626
34500 -10152.5 -6702.17 -291.219
34600 -10097 -6641.02 -248.751
34700 -9565.71 -6935 -295.336
34800 -9067.8 -7044.85 -402.65
34900 -8435.98 -6960.63 -336.025
35000 -7954.79 -6706.68 -316.765
35100 -7186.01 -6590.94 -350.376
35200 -6890.15 -6208.58 -404.073
35300 -6411.94 -5836.2 -329.841
35400 -6030.74 -5644.63 -224.562
35500 -5617.23 -5186.19 -340.091
35600 -5381.05 -4644.83 -391.388
35700 -5355.84 -4268.18 -268.824
35800 -5239.56 -3730.39 -259.257
35900 -5594.92 -3143.28 -301.793
36000 -5617.5 -2860.83 -348.232
36100 -5962.61 -2403.44 -275.647
36200 -6018.31 -2216.62 -207.986
36300 -6534.98 -2007.03 -319.076
36400 -6995.55 -1735.22 -339.174
36500 -7296.04 -2071.43 -241.913
36600 -7674.97 -2067.06 -206.445
36700 -8203.9 -2267.33 -303.053
36800 -8779.96 -2610.81 -317.087
36900 -8989.32 -3487.45 -200.278
37000 -9293.85 -3880.65 -161.287
37100 -9840.18 -4334.44 -276.971
37200 -10034.1 -5010.46 -249.34
37300 -10447.9 -5405.48 -138.561
37400 -10555 -5761.13 -275.002
37500 -10406.5 -6029.55 -347.288
37600 -10089 -6087.23 -387.785
37700 -9629.99 -5847.72 -293.75
37800 -8458.93 -5329.6 -389.98
37900 -7525.75 -4809.31 -495.625
38000 -6009.1 -3989.46 -444.15
38100 -4334.87 -3063.04 -360.517
38200 -2401.12 -1854.09 -367.824
38300 -458.45 -614.055 -387.241
38400 1546.51 599.295 -234.446
